cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,logreg_l2,False,43,logreg_l2|s43,19980,8,2.674636302139932,0.3525730404106547,0.9430046530381864,-2.3276855074717844,-1.997324194471432,0.33036131300035243,0.5978016254199517,0.7366971569459455,0.13889553152599377,0.5989832578948909,0.7393211026332519,0.14033784473836097,0.21274872349314766
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,44,logreg_l2|s44,19979,5,1.601372690173476,0.27125817645493616,0.43438543576119254,-2.298983771615871,-2.129278854220386,0.16970491739548477,0.5758165440389088,0.6195126181744192,0.043696074135510354,0.5750923799827967,0.6193618102856893,0.04426943030289254,0.22286471100863126
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,logreg_l2,False,44,logreg_l2|s44,19979,2,1.0805921493834543,0.40810593320290744,0.4409960675358702,-2.1602741661750295,-2.1290580741345444,0.031216092040485144,0.6126355401337555,0.6212373704039921,0.008601830270236532,0.6143878890869102,0.6208423720412295,0.006454482954319274,0.006408410433156986
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,logreg_l2,False,44,logreg_l2|s44,19979,10,5.358731391448707,0.1835117216578955,0.9833900235469623,-2.836614971362552,-2.0058389862115886,0.8307759851509635,0.5515765504125086,0.7435437490692716,0.19196719865676293,0.5503381802585422,0.768179479442044,0.2178412991835018,0.18179430535427465
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,logreg_l2,False,44,logreg_l2|s44,19979,4,1.291041543715056,0.3364612377315297,0.43438543576119254,-2.2970157265058258,-2.129278854220386,0.16773687228543954,0.5935689033040605,0.6195126181744192,0.025943714870358625,0.5957296543439998,0.6193618102856893,0.023632155941689437,0.22286471100863126
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,logreg_l2,False,44,logreg_l2|s44,19979,2,1.0805921493834543,0.40810593320290744,0.4409960675358702,-2.1602741661750295,-2.1290580741345444,0.031216092040485144,0.6126355401337555,0.6212373704039921,0.008601830270236532,0.6143878890869102,0.6208423720412295,0.006454482954319274,0.006408410433156986
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,logreg_l2,False,44,logreg_l2|s44,19979,8,3.149455830847695,0.3122412493977656,0.9833900235469623,-2.286261126123389,-2.0058389862115886,0.28042213991180054,0.586927630421882,0.7435437490692716,0.15661611864738956,0.588006333768042,0.768179479442044,0.180173145674002,0.18179430535427465
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,45,logreg_l2|s45,19604,5,1.1064828542260348,0.3979292954158449,0.44030194257187905,-2.2236863439171173,-2.1318275364007557,0.09185880751636155,0.6099846083843108,0.621074724724991,0.011090116340680245,0.6134022401086449,0.623003295968101,0.009601055859456142,0.20822515900947258
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,logreg_l2,False,45,logreg_l2|s45,19604,2,1.1908028814264,0.38918504117284664,0.46344266843667786,-2.158837226313363,-2.1218362484615416,0.037000977851821215,0.6076273356266209,0.6270557382292143,0.019428402602593486,0.6087366479530553,0.6243752079140791,0.015638559961023812,0.022354916358643173
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,logreg_l2,False,45,logreg_l2|s45,19604,10,6.24750179411979,0.18146262631852728,1.1336880834906882,-2.7667177680815733,-1.9659885638433787,0.8007292042381946,0.5510020246347378,0.7697030573510516,0.2187010327163138,0.5492101592347195,0.7890588564122312,0.23984869717751167,0.25877369835880015
