cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,4,1.550199635230717,1.6694258487274551,1.0758822797722345,1.66783231765411,0.2018761497250386,14.563097866077998,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,2,1.013141535147084,1.0310739174811996,1.9300053775677268,1.9553686110710944,0.0323489123203847,1.1521549973136245,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,4,1.0961445220180557,1.3402124101874355,1.903394430254442,2.0863953779630844,0.0522056660769444,1.4069168198785449,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,random_forest,False,44.0,random_forest|s44,21691,5423,0.1117975197086349,0.1117462659044809,2,1.051298036706356,1.0023473011257673,1.8436065521055869,1.9381799486875777,0.0316589957928747,3.2724080267558526,0.8378213573900467,0.0,0.7712366999476217
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,4,1.5831532656648304,1.7292271206303609,1.0522059919429128,1.6658033522965243,0.1625407841207945,17.164674921264936,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0526581847249086,1.0891713724552516,1.881494849586328,1.980570952934809,0.0411349196788904,1.1159235668789809,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,7,1.3258038567985573,1.5055626443736103,1.5667908253391392,2.0772573190312253,0.238321875550855,1.767008387698043,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.1289791168178904,1.0835574816050932,1.7175432566402768,1.939070468978263,0.0676964512832557,2.3989179202955926,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,4,1.5831532656648304,1.7292271206303609,1.0522059919429128,1.6658033522965243,0.1625407841207945,17.164674921264936,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0526581847249086,1.0891713724552516,1.881494849586328,1.980570952934809,0.0411349196788904,1.1159235668789809,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,4,1.1222696401835806,1.4230469893099926,1.8509431643285197,2.0772573190312253,0.0135264126625573,1.589080459770115,0.8426456149870747,0.0,0.8111415000166744
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,random_forest,False,45.0,random_forest|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.1289791168178904,1.0835574816050932,1.7175432566402768,1.939070468978263,0.0676964512832557,2.3989179202955926,0.8426456149870747,0.0,0.8111415000166744
